mch_0,q_0,e_q,p_bns,p_bhns,p_bbh,p_gap,p_ns
0.500000,2.18000,1.00000,0.769416,0.0523852,0.00000,0.178197,0.999999
0.500000,2.18000,1.25000,0.722304,0.0971581,0.00000,0.180536,0.999999
0.500000,2.18000,1.50000,0.688459,0.139696,0.00000,0.171843,0.999999
0.500000,2.18000,1.75000,0.663234,0.176910,0.00000,0.159852,1.00000
0.500000,2.18000,2.00000,0.643812,0.208588,0.00000,0.147598,0.999998
0.500000,2.18000,2.25000,0.628434,0.235388,0.00000,0.136167,0.999993
0.500000,2.18000,2.50000,0.615984,0.258099,0.00000,0.125872,0.999957
0.500000,2.18000,2.75000,0.605705,0.277394,0.00000,0.116726,0.999826
0.500000,2.18000,3.00000,0.597078,0.293765,0.00000,0.108634,0.999476
0.500000,2.18000,3.25000,0.589725,0.307551,0.00000,0.101470,0.998747
0.500000,2.18000,3.50000,0.583355,0.318990,0.00000,0.0951126,0.997458
0.500000,2.18000,3.75000,0.577731,0.328266,0.00000,0.0894488,0.995449
0.500000,2.18000,4.00000,0.572650,0.335551,0.00000,0.0843820,0.992584
0.500000,2.04000,1.00000,0.809708,0.0390265,0.00000,0.151263,0.999999
0.500000,2.04000,1.25000,0.758550,0.0792867,0.00000,0.162162,0.999999
0.500000,2.04000,1.50000,0.720655,0.119997,0.00000,0.159346,1.00000
0.500000,2.04000,1.75000,0.691915,0.156921,0.00000,0.151160,0.999999
0.500000,2.04000,2.00000,0.669543,0.189071,0.00000,0.141382,0.999998
0.500000,2.04000,2.25000,0.651703,0.216687,0.00000,0.131601,0.999994
0.500000,2.04000,2.50000,0.637183,0.240346,0.00000,0.122434,0.999967
0.500000,2.04000,2.75000,0.625153,0.260622,0.00000,0.114080,0.999856
0.500000,2.04000,3.00000,0.615028,0.277968,0.00000,0.106557,0.999554
0.500000,2.04000,3.25000,0.606379,0.292712,0.00000,0.0998137,0.998906
0.500000,2.04000,3.50000,0.598879,0.305084,0.00000,0.0937710,0.997734
0.500000,2.04000,3.75000,0.592250,0.315269,0.00000,0.0883479,0.995869
0.500000,2.04000,4.00000,0.586268,0.323432,0.00000,0.0834680,0.993168
0.500000,1.90000,1.00000,0.845356,0.0285830,0.00000,0.126059,0.999999
0.500000,1.90000,1.25000,0.792060,0.0640225,0.00000,0.143915,1.00000
0.500000,1.90000,1.50000,0.751142,0.102342,0.00000,0.146513,1.00000
0.500000,1.90000,1.75000,0.719471,0.138478,0.00000,0.142049,1.00000
0.500000,1.90000,2.00000,0.694497,0.170722,0.00000,0.134778,0.999999
0.500000,1.90000,2.25000,0.674414,0.198876,0.00000,0.126702,0.999996
0.500000,1.90000,2.50000,0.657972,0.223279,0.00000,0.118720,0.999974
0.500000,1.90000,2.75000,0.644288,0.244384,0.00000,0.111207,0.999882
0.500000,1.90000,3.00000,0.632736,0.262590,0.00000,0.104295,0.999621
0.500000,1.90000,3.25000,0.622841,0.278198,0.00000,0.0980032,0.999044
0.500000,1.90000,3.50000,0.614244,0.291430,0.00000,0.0923013,0.997975
0.500000,1.90000,3.75000,0.606638,0.302463,0.00000,0.0871397,0.996242
0.500000,1.90000,4.00000,0.599772,0.311455,0.00000,0.0824633,0.993690
0.500000,1.76000,1.00000,0.876285,0.0205766,0.00000,0.103137,0.999999
0.500000,1.76000,1.25000,0.822656,0.0511476,0.00000,0.126194,0.999999
0.500000,1.76000,1.50000,0.779763,0.0866569,0.00000,0.133578,0.999999
0.500000,1.76000,1.75000,0.745774,0.121571,0.00000,0.132653,1.00000
0.500000,1.76000,2.00000,0.718579,0.153554,0.00000,0.127864,0.999998
0.500000,1.76000,2.25000,0.696497,0.181976,0.00000,0.121521,0.999996
0.500000,1.76000,2.50000,0.678292,0.206922,0.00000,0.114762,0.999979
0.500000,1.76000,2.75000,0.663069,0.228705,0.00000,0.108129,0.999903
0.500000,1.76000,3.00000,0.650165,0.247652,0.00000,0.101860,0.999677
0.500000,1.76000,3.25000,0.639083,0.264031,0.00000,0.0960482,0.999162
0.500000,1.76000,3.50000,0.629430,0.278047,0.00000,0.0907102,0.998187
0.500000,1.76000,3.75000,0.620876,0.289865,0.00000,0.0858287,0.996571
